DEPARTAMENTO,MUNICIPIO,MECANISMO_VIOLENCIA,SEXO,GRUPO_ETARIO,AÑO,MES,CANTIDAD
AMAZONAS,LA PEDRERA,CONTUNDENTE,MASCULINO,ADOLESCENTES,2019,10,1
AMAZONAS,LA PEDRERA,CONTUNDENTE,MASCULINO,ADULTOS,2019,9,1
AMAZONAS,LETICIA,OTROS,MASCULINO,MENORES,2020,9,1
AMAZONAS,LETICIA,OTROS,FEMENINO,MENORES,2023,7,1
AMAZONAS,LETICIA,OTROS,FEMENINO,MENORES,2023,6,1
AMAZONAS,LETICIA,OTROS,FEMENINO,ADULTOS,2023,10,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2015,4,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2015,6,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2016,7,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2018,8,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2018,1,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2018,7,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2018,10,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2019,10,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2021,4,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2021,6,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2022,6,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2023,7,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2015,5,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2016,4,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2016,6,2
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2016,3,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2016,10,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2017,8,2
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2017,6,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2017,5,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2018,5,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2018,11,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2019,4,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2019,7,2
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2019,11,1
AMAZONAS,LETICIA,CONTUNDENTE,MASCULINO,MENORES,2020,1,1
