DEPARTAMENTO,MUNICIPIO,MECANISMO_VIOLENCIA,SEXO,GRUPO_ETARIO,AÑO,MES,CANTIDAD
AMAZONAS,LETICIA,CORTOPUNZANTE,FEMENINO,ADULTOS,2015,6,1
AMAZONAS,LETICIA,CORTOPUNZANTE,FEMENINO,ADULTOS,2015,10,1
AMAZONAS,LETICIA,CORTOPUNZANTE,FEMENINO,ADULTOS,2016,3,1
AMAZONAS,LETICIA,CORTOPUNZANTE,FEMENINO,ADULTOS,2016,7,1
AMAZONAS,LETICIA,CORTOPUNZANTE,FEMENINO,ADULTOS,2017,11,1
AMAZONAS,LETICIA,CORTOPUNZANTE,FEMENINO,ADULTOS,2018,2,1
AMAZONAS,LETICIA,CORTOPUNZANTE,FEMENINO,ADULTOS,2018,3,1
AMAZONAS,LETICIA,CORTOPUNZANTE,FEMENINO,ADULTOS,2018,7,1
AMAZONAS,LETICIA,CORTOPUNZANTE,FEMENINO,ADULTOS,2018,8,1
AMAZONAS,LETICIA,CORTOPUNZANTE,FEMENINO,ADULTOS,2018,10,2
AMAZONAS,LETICIA,CORTOPUNZANTE,FEMENINO,ADULTOS,2019,7,2
AMAZONAS,LETICIA,CORTOPUNZANTE,FEMENINO,ADULTOS,2019,9,1
AMAZONAS,LETICIA,CORTOPUNZANTE,FEMENINO,ADULTOS,2019,10,2
AMAZONAS,LETICIA,CORTOPUNZANTE,FEMENINO,ADULTOS,2020,4,1
AMAZONAS,LETICIA,CORTOPUNZANTE,FEMENINO,ADULTOS,2020,6,1
AMAZONAS,LETICIA,CORTOPUNZANTE,FEMENINO,ADULTOS,2020,9,1
AMAZONAS,LETICIA,CORTOPUNZANTE,FEMENINO,ADULTOS,2020,11,1
AMAZONAS,LETICIA,CORTOPUNZANTE,FEMENINO,ADULTOS,2022,1,2
AMAZONAS,LETICIA,CORTOPUNZANTE,FEMENINO,ADULTOS,2022,6,1
AMAZONAS,LETICIA,CORTOPUNZANTE,FEMENINO,ADULTOS,2023,1,1
AMAZONAS,LETICIA,CORTOPUNZANTE,FEMENINO,ADULTOS,2023,2,1
AMAZONAS,LETICIA,CORTOPUNZANTE,MASCULINO,ADOLESCENTES,2018,9,1
AMAZONAS,LETICIA,CORTOPUNZANTE,MASCULINO,ADULTOS,2015,3,2
AMAZONAS,LETICIA,CORTOPUNZANTE,MASCULINO,ADULTOS,2015,8,3
AMAZONAS,LETICIA,CORTOPUNZANTE,MASCULINO,ADULTOS,2016,1,1
AMAZONAS,LETICIA,CORTOPUNZANTE,MASCULINO,ADULTOS,2016,10,1
AMAZONAS,LETICIA,CORTOPUNZANTE,MASCULINO,ADULTOS,2017,8,1
AMAZONAS,LETICIA,CORTOPUNZANTE,MASCULINO,ADULTOS,2018,2,1
AMAZONAS,LETICIA,CORTOPUNZANTE,MASCULINO,ADULTOS,2018,3,1
AMAZONAS,LETICIA,CORTOPUNZANTE,MASCULINO,ADULTOS,2018,7,2
AMAZONAS,LETICIA,CORTOPUNZANTE,MASCULINO,ADULTOS,2019,10,2
AMAZONAS,LETICIA,CORTOPUNZANTE,MASCULINO,ADULTOS,2019,12,1
AMAZONAS,LETICIA,CORTOPUNZANTE,MASCULINO,ADULTOS,2020,4,1
AMAZONAS,LETICIA,CORTOPUNZANTE,MASCULINO,ADULTOS,2020,6,1
AMAZONAS,LETICIA,CORTOPUNZANTE,MASCULINO,ADULTOS,2020,11,1
AMAZONAS,LETICIA,CORTOPUNZANTE,MASCULINO,ADULTOS,2021,9,1
AMAZONAS,LETICIA,CORTOPUNZANTE,MASCULINO,ADULTOS,2022,1,1
AMAZONAS,LETICIA,CORTOPUNZANTE,MASCULINO,ADULTOS,2022,6,1
AMAZONAS,LETICIA,CORTOPUNZANTE,MASCULINO,ADULTOS,2023,3,1
